text	label	original_label
as they come , already having been recycled more times than i 'd care to count 	negative	negative
covers this territory with wit and originality , suggesting that with his fourth feature 	positive	positive
a $ 40 million version of a game 	negative	negative
gorgeous and deceptively minimalist 	positive	positive
cross swords with the best of them and 	positive	positive
as a fringe feminist conspiracy theorist 	negative	negative
proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . 	positive	positive
disappointments 	negative	negative
the horrors 	negative	negative
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . 	positive	positive
many pointless 	negative	negative
a beautifully 	positive	positive
contrived , well-worn situations 	negative	negative
a doa 	negative	negative
poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . 	negative	negative
to be as subtle and touching as the son 's room 	positive	positive
starts with a legend 	positive	positive
far less sophisticated and 	negative	negative
rich veins of funny stuff in this movie 	positive	positive
no apparent joy 	negative	negative
shot on ugly digital video 	negative	negative
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' 	negative	negative
though ford and neeson capably hold our interest , but its just not a thrilling movie 	negative	negative
is pretty damned funny . 	positive	positive
we never feel anything for these characters 	negative	negative
's a lousy one at that 	negative	negative
the corporate circus that is the recording industry in the current climate of mergers and downsizing 	negative	negative
the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . 	positive	positive
of the most highly-praised disappointments i 	negative	negative
sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . 	negative	negative
seem fresh 	positive	positive
to the dustbin of history 	negative	negative
as a director , eastwood is off his game 	negative	negative
pays earnest homage to turntablists 	positive	positive
weak and 	negative	negative
skip this dreck , 	negative	negative
contains very few laughs and even less surprises 	negative	negative
film to affirm love 's power to help people endure almost unimaginable horror 	positive	positive
are an absolute joy 	positive	positive
generates 	positive	positive
, like life , is n't much fun without the highs and lows 	positive	positive
based on a true and historically significant story 	positive	positive
well-rounded tribute 	positive	positive
, though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . 	negative	negative
so much like a young robert deniro 	positive	positive
khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . 	positive	positive
fashioning an engrossing entertainment out 	positive	positive
spiffy animated feature 	positive	positive
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer 	negative	negative
alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life 	positive	positive
strung-together moments 	negative	negative
, generous and subversive artworks 	positive	positive
it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world 	positive	positive
funny yet 	positive	positive
overbearing and over-the-top 	negative	negative
it 's robert duvall ! 	positive	positive
rich and sudden wisdom 	positive	positive
acted and directed , it 's clear that washington most certainly has a new career ahead of him 	positive	positive
in memory 	positive	positive
respectable new one 	positive	positive
yet this grating showcase 	negative	negative
hate to tear your eyes away from the images long enough to read the subtitles 	positive	positive
addition to sporting one of the worst titles in recent cinematic history 	negative	negative
, this gender-bending comedy is generally quite funny . 	positive	positive
build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year 	negative	negative
do n't work in concert 	negative	negative
the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . 	positive	positive
would have liked it more if it had just gone that one step further 	positive	positive
it 's too harsh to work as a piece of storytelling , 	negative	negative
hawaiian shirt 	positive	positive
takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . 	positive	positive
provide its keenest pleasures 	positive	positive
altogether too slight to be called any kind of masterpiece 	negative	negative
grievous but 	negative	negative
after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . 	negative	negative
hopeless 	negative	negative
unpretentious , charming , quirky , original 	positive	positive
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . 	negative	negative
very well-written and very well-acted . 	positive	positive
are n't many conclusive answers in the film 	negative	negative
clumsy dialogue , heavy-handed phoney-feeling sentiment , 	negative	negative
proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . 	negative	negative
bring tissues . 	positive	positive
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . 	negative	negative
brings the proper conviction to his role as ( jason bourne ) . 	positive	positive
as a young woman of great charm , generosity and diplomacy 	positive	positive
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . 	positive	positive
just too silly 	negative	negative
cinematic bon bons 	positive	positive
it is supremely unfunny and unentertaining to watch middle-age and 	negative	negative
a lively and engaging examination of how similar obsessions can dominate a family . 	positive	positive
irritates and 	negative	negative
collapse 	negative	negative
so many of the challenges it poses for itself that one can forgive the film its flaws 	positive	positive
, it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . 	positive	positive
wide-awake all the way through 	positive	positive
( vainly , i think ) 	negative	negative
is one big excuse to play one lewd scene after another . 	negative	negative
is effective if you stick with it 	positive	positive
that underscore the importance of family tradition and familial community 	positive	positive
delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans 	positive	positive
watching this digital-effects-heavy , supposed family-friendly comedy 	negative	negative
absolutely and completely ridiculous and 	negative	negative
's a very tasteful rock and roll movie . 	positive	positive
the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . 	negative	negative
realistic portrayal 	positive	positive
as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story 	negative	negative
well-thought stunts or 	positive	positive
reveals how important our special talents can be when put in service of of others . 	positive	positive
no lika da 	negative	negative
a welcome relief 	positive	positive
the promise of digital filmmaking 	positive	positive
just one that could easily wait for your pay per view dollar 	negative	negative
justify a theatrical simulation of the death camp of auschwitz ii-birkenau 	negative	negative
extraordinary faith 	positive	positive
have i seen a film so willing to champion the fallibility of the human heart 	positive	positive
, sometimes beautiful adaptation 	positive	positive
about as interesting 	negative	negative
caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . 	positive	positive
overlong , and bombastic 	negative	negative
derivative and hammily 	negative	negative
most audacious , outrageous , 	positive	positive
at its best moments 	positive	positive
disney again ransacks its archives for a quick-buck sequel . 	negative	negative
that final , beautiful scene 	positive	positive
some movies suck you in despite their flaws , 	positive	positive
eats , meddles , argues , laughs , kibbitzes and fights 	positive	positive
the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . 	negative	negative
, compelling 	positive	positive
infectiously 	positive	positive
the picture runs a mere 84 minutes , but it 's no glance . 	positive	positive
think of this dog of a movie 	negative	negative
's remarkable procession of sweeping pictures that have reinvigorated the romance genre . 	positive	positive
those so-so films that could have been much better 	negative	negative
a passable date film 	positive	positive
imax in short 	positive	positive
i hate it . 	negative	negative
's pleasant enough -- and oozing with attractive men 	positive	positive
no one involved , save dash , shows the slightest aptitude for acting 	negative	negative
in this wildly uneven movie 	negative	negative
pokes , provokes , takes expressionistic license 	positive	positive
like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it 	negative	negative
with color and depth , and rather a good time 	positive	positive
silly , outrageous , ingenious 	positive	positive
being able to hit on a 15-year old when you 're over 100 	negative	negative
the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . 	negative	negative
the year 's best and most unpredictable comedy 	positive	positive
starts off so bad that you feel like running out screaming 	negative	negative
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . 	negative	negative
elvira fans could hardly ask for more . 	positive	positive
a good one 	positive	positive
, plodding picture 	negative	negative
the character dramas , which never reach satisfying conclusions 	negative	negative
lost in the translation this time 	negative	negative
speak for it while it forces you to ponder anew what a movie can be 	positive	positive
enables shafer to navigate spaces both large ... and small ... with considerable aplomb 	positive	positive
a plot cobbled together from largely flat and uncreative moments 	negative	negative
inane and awful 	negative	negative
told in scattered fashion 	negative	negative
takes chances that are bold by studio standards 	positive	positive
believe it or not , jason actually takes a backseat in his own film to special effects 	negative	negative
only thing to fear about `` fear dot com '' 	negative	negative
whole mess 	negative	negative
manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor 	positive	positive
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . 	positive	positive
a résumé loaded with credits like `` girl in bar # 3 	negative	negative
enjoy the ride 	positive	positive
very little to add beyond the dark visions already relayed by superb recent predecessors 	negative	negative
the , yes , snail-like pacing 	negative	negative
an extremely unpleasant film . 	negative	negative
if it is n't entirely persuasive , it does give exposure to some talented performers 	positive	positive
the whole affair , true story or not , feels incredibly hokey ... 	negative	negative
are all things we 've seen before 	negative	negative
poignant and leavened 	positive	positive
breathless anticipation 	positive	positive
significantly better 	positive	positive
as predictable as the tides 	negative	negative
bewilderingly brilliant and entertaining 	positive	positive
it 's smooth and professional 	positive	positive
, unassuming , subordinate 	negative	negative
the horror 	negative	negative
a technically superb film 	positive	positive
the positive change in tone here seems to have recharged him . 	positive	positive
pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators 	positive	positive
a dim 	negative	negative
, vicious and absurd 	negative	negative
because he acts so goofy all the time 	negative	negative
to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside 	positive	positive
's at once laughable and compulsively watchable , 	positive	positive
merit its 103-minute length 	positive	positive
the value and respect for the term epic cinema 	positive	positive
as a dentist 's waiting room 	negative	negative
showing honest emotions 	positive	positive
amazingly lame . 	negative	negative
confessions may not be a straightforward bio 	negative	negative
seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little 	negative	negative
the story is bogus and 	negative	negative
this comic gem is as delightful as it is derivative . 	positive	positive
to spare wildlife 	positive	positive
ugly as the shabby digital photography 	negative	negative
understand the difference between dumb fun and just plain dumb 	negative	negative
traditionally structured 	positive	positive
frida is n't that much different from many a hollywood romance . 	negative	negative
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . 	positive	positive
are worth the price of admission ... if `` gory mayhem '' is your idea of a good time 	positive	positive
was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) 	negative	negative
carnage and 	negative	negative
degraded , handheld blair witch video-cam footage 	negative	negative
second fiddle 	negative	negative
about the folly of superficiality that is itself 	negative	negative
serves as auto-critique , and its clumsiness as its own most damning censure . 	negative	negative
tedious norwegian offering which somehow snagged an oscar nomination . 	negative	negative
, esther kahn is unusual but unfortunately also irritating . 	negative	negative
a stylish exercise 	positive	positive
halfway through this picture i was beginning to hate it 	negative	negative
a setup so easy it borders on facile 	negative	negative
a thoroughly awful movie 	negative	negative
takes hold and grips hard 	positive	positive
look smeary and blurry , to the point of distraction 	negative	negative
the picture 's fascinating byways 	positive	positive
guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves 	negative	negative
breezy , distracted rhythms 	negative	negative
than this mess 	negative	negative
evanescent , seamless and sumptuous stream 	positive	positive
slick and manufactured to claim street credibility . 	positive	positive
take care is nicely performed by a quintet of actresses , 	positive	positive
valuable messages 	positive	positive
in no small part thanks to lau 	positive	positive
two guys who desperately want to be quentin tarantino when they grow up 	negative	negative
no new plot conceptions 	negative	negative
essentially a collection of bits -- 	negative	negative
does n't bode well for the rest of it 	negative	negative
elevated by it -- the kind of movie 	positive	positive
usual worst 	negative	negative
hugh grant , who has a good line in charm 	positive	positive
arrive early and stay late 	positive	positive
is a pan-american movie , with moments of genuine insight into the urban heart . 	positive	positive
i could have used my two hours better watching being john malkovich again . 	negative	negative
shot in artful , watery tones of blue , green and brown 	positive	positive
an unorthodox little film noir organized crime story that includes one of the strangest 	positive	positive
considerable aplomb 	positive	positive
acted by diane lane and richard gere . 	positive	positive
scant 	negative	negative
an admittedly middling film 	positive	positive
too ludicrous 	negative	negative
the rock 's fighting skills are more in line with steven seagal 	positive	positive
rich and full 	positive	positive
warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . 	positive	positive
that uses a sensational , real-life 19th-century crime as a metaphor for 	positive	positive
, home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . 	positive	positive
, the film retains ambiguities that make it well worth watching . 	positive	positive
ultra-cheesy dialogue 	negative	negative
added depth and resonance 	positive	positive
the sensational 	positive	positive
huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them 	positive	positive
handsome but unfulfilling suspense drama 	negative	negative
's not very good either . 	negative	negative
in her most charmless 	negative	negative
makes an unusual but pleasantly haunting debut behind the camera . 	positive	positive
a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats . 	positive	positive
everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way . 	negative	negative
the cast is spot on and 	positive	positive
ugly digital video 	negative	negative
can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history 	positive	positive
rather choppy 	negative	negative
becomes one more dumb high school comedy about sex gags and prom dates 	negative	negative
demands and receives excellent performances 	positive	positive
xxx is a blast of adrenalin , 	positive	positive
pure escapism 	positive	positive
create a film that 's not merely about kicking undead *** 	positive	positive
about love and culture 	positive	positive
is worse : 	negative	negative
horrifying 	negative	negative
mourns her tragedies in private 	negative	negative
the action scenes are poorly delivered 	negative	negative
it 's so bad 	negative	negative
so bad 	negative	negative
, 84 minutes is short 	positive	positive
dabbles all around , never gaining much momentum 	negative	negative
a masterpiece 	positive	positive
a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth 	positive	positive
does n't leave you with much . 	negative	negative
good acting 	positive	positive
like most of jaglom 's films , some of it is honestly affecting 	positive	positive
marivaux 's rhythms , and mira sorvino 's limitations as a classical actress 	negative	negative
is less successful on other levels 	negative	negative
's still quite worth seeing 	positive	positive
intelligent and moving . 	positive	positive
he appears miserable throughout as he swaggers through his scenes 	negative	negative
men 	positive	positive
accomplish what few sequels can 	positive	positive
a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker 	negative	negative
i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening 	negative	negative
exhilarating , funny and fun . 	positive	positive
bound to appeal to women looking for a howlingly trashy time 	positive	positive
, it never quite makes the grade as tawdry trash . 	negative	negative
has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . 	positive	positive
endearing , caring 	positive	positive
seagal , who looks more like danny aiello these days 	positive	positive
enactments , however fascinating they may be as history , are too crude to serve the work especially well . 	negative	negative
not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker 	positive	positive
the dehumanizing and ego-destroying process 	negative	negative
taboo subject matter 	negative	negative
see this 	positive	positive
utterly incompetent conclusion 	negative	negative
has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ... 	positive	positive
you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her 	positive	positive
run for cover 	negative	negative
low budget 	negative	negative
a deceptively casual ode 	positive	positive
walked out muttering words like `` horrible '' and `` terrible , '' 	negative	negative
help chicago make the transition from stage to screen with considerable appeal intact 	positive	positive
you have ellen pompeo sitting next to you for the ride 	positive	positive
a giant step backward 	negative	negative
true fans 	positive	positive
just copies 	negative	negative
quite rich and exciting 	positive	positive
luminous interviews and amazingly evocative film from three decades ago 	positive	positive
from lynch , jeunet , and von trier while failing to find a spark of its own 	negative	negative
, you ca n't help but get caught up in the thrill of the company 's astonishing growth . 	positive	positive
this frozen tundra soap opera 	negative	negative
a showdown 	positive	positive
is simply too overdone 	negative	negative
greatly 	positive	positive
free 	positive	positive
intriguing species 	positive	positive
try and evade 	negative	negative
scherfig , who has had a successful career in tv 	positive	positive
watching it leaves you giddy 	positive	positive
beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses . 	positive	positive
far tamer 	negative	negative
outrageously creative action 	positive	positive
the most purely enjoyable and satisfying evenings 	positive	positive
is never any question of how things will turn out 	negative	negative
only open new wounds 	negative	negative
despite suffering a sense-of-humour failure 	negative	negative
for a story 	positive	positive
in addition to hoffman 's powerful acting clinic 	positive	positive
right stuff 	positive	positive
the wonderful cinematography and naturalistic acting 	positive	positive
high-concept films 	positive	positive
sleepwalk through vulgarities in a sequel you can refuse 	negative	negative
with no reason for being 	negative	negative
just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . 	negative	negative
invigorating , surreal , and resonant 	positive	positive
the chateau , a sense of light-heartedness , that makes it attractive throughout 	positive	positive
have a passion for the material 	positive	positive
maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . 	positive	positive
a movie that ca n't get sufficient distance from leroy 's 	negative	negative
romanticized rendering 	positive	positive
is terrific as rachel 	positive	positive
of special effects that run the gamut from cheesy to cheesier to cheesiest 	negative	negative
the worst film a man has made about women since valley of the dolls 	negative	negative
come , already having been recycled more times than i 'd care to count 	negative	negative
with awe 	positive	positive
joyous romp of a film . 	positive	positive
a nonstop hoot 	positive	positive
, partisans and sabotage 	negative	negative
gory as the scenes of torture and self-mutilation 	negative	negative
just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart 	positive	positive
ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are . 	positive	positive
the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . 	negative	negative
this obscenely bad dark comedy , so crass 	negative	negative
naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation 	positive	positive
exciting and 	positive	positive
schticky 	negative	negative
and in the best way 	positive	positive
of our most flamboyant female comics 	positive	positive
squareness that would make it the darling of many a kids-and-family-oriented cable channel 	positive	positive
( less a movie than ) an appalling , odoriferous thing ... so 	negative	negative
this film special 	positive	positive
of the amazing spider-man 	positive	positive
the stomach-turning violence 	negative	negative
could use a little more humanity 	negative	negative
not everything 	negative	negative
acquires an undeniable entertainment value as the slight , pale mr. broomfield continues to force himself on people and into situations that would make lesser men run for cover . 	positive	positive
a slow-moving police-procedural thriller 	negative	negative
a bad idea from frame one 	negative	negative
terrific , sweaty-palmed fun 	positive	positive
very funny joke 	positive	positive
volletta wallace 's maternal fury 	negative	negative
complex story 	positive	positive
atop wooden dialogue 	negative	negative
that it progresses in such a low-key manner that it risks monotony 	negative	negative
be burns 's strongest film since the brothers mcmullen 	positive	positive
ca n't miss it 	positive	positive
dover kosashvili 's outstanding feature debut so potent 	positive	positive
of the best short story writing 	positive	positive
it seeks excitement in manufactured high drama 	negative	negative
feeble comedy . 	negative	negative
an insult to every family 	negative	negative
it is essentially empty 	negative	negative
of the film 's problems 	negative	negative
makes my big fat greek wedding look like an apartheid drama 	negative	negative
is not even half the interest . 	negative	negative
never achieve the popularity of my big fat greek wedding 	negative	negative
`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era 	positive	positive
right now , they 're merely signposts marking the slow , lingering death of imagination . 	negative	negative
appealing character quirks to forgive that still serious problem 	positive	positive
often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? 	negative	negative
the energy it takes to describe how bad it is 	negative	negative
wait to see it then . 	negative	negative
could easily be called the best korean film of 2002 	positive	positive
largest-ever historical canvas 	positive	positive
a solid cast , assured direction and complete lack of modern day irony . 	positive	positive
comatose ballerinas 	negative	negative
oh-so-important 	positive	positive
of the road , where the thematic ironies are too obvious and the sexual politics too smug 	negative	negative
formulaic equations 	negative	negative
's a work that , with humor , warmth , and intelligence , captures a life interestingly lived 	positive	positive
deserve a passing grade 	positive	positive
you 're gon na like this movie . 	positive	positive
simply stupid , irrelevant 	negative	negative
weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . 	positive	positive
a heavy-handed indictment of parental failings and 	negative	negative
felt performances across the board . 	positive	positive
seem weird and distanced 	negative	negative
has finally made a movie that is n't just offensive 	positive	positive
casual and fun 	positive	positive
plodding mess 	negative	negative
the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . 	negative	negative
the film 's intimate camera work 	positive	positive
you 'll find yourself wishing that you and they were in another movie . 	negative	negative
of dishonesty 	negative	negative
as bestial 	negative	negative
as it is a loose collection of not-so-funny gags , scattered moments of lazy humor 	negative	negative
, they prove more distressing than suspenseful . 	negative	negative
crackles 	positive	positive
a fairly revealing study of its two main characters 	positive	positive
high drama , disney-style 	positive	positive
may be more genial than ingenious , but it gets the job done . 	positive	positive
, good action , good acting , good dialogue , good pace , good cinematography . 	positive	positive
her bully of a husband 	negative	negative
gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story . 	negative	negative
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters 	negative	negative
oozing , chilling and heart-warming 	positive	positive
stale retread 	negative	negative
filming the teeming life on the reefs 	positive	positive
an already thin story boils down to surviving invaders seeking an existent anti-virus . 	negative	negative
quite endearing . 	positive	positive
with fewer gags to break the tedium 	negative	negative
overbearing and 	negative	negative
deep deceptions 	negative	negative
things will turn out okay 	positive	positive
the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural 	positive	positive
grand 	positive	positive
good-natured fun found in films like tremors 	positive	positive
betters it 	positive	positive
transfixes the audience 	positive	positive
moving and important 	positive	positive
dope 	positive	positive
an avid interest 	positive	positive
blessed with two fine , nuanced lead performances 	positive	positive
true star 	positive	positive
hampered -- no , paralyzed -- by a self-indulgent script ... 	negative	negative
is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance . 	negative	negative
is haunting ... ( it 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction 	positive	positive
which nurses plot holes gaping enough to pilot an entire olympic swim team through 	negative	negative
that 's both charming and well acted 	positive	positive
a bad blend 	negative	negative
the guy-in-a-dress genre 	positive	positive
director claude chabrol has become the master of innuendo . 	positive	positive
riveting and 	positive	positive
excruciatingly unfunny and pitifully unromantic . 	negative	negative
war movies 	negative	negative
an inuit masterpiece 	positive	positive
oscar 	positive	positive
the cliché-laden screenplay 	negative	negative
girlfriends are bad , wives are worse 	negative	negative
provide much more insight 	positive	positive
, and as easy to be bored by as your abc 's , 	negative	negative
what you wish for 	positive	positive
fluid and mesmerizing 	positive	positive
... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll . 	positive	positive
it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . 	positive	positive
ransacks 	negative	negative
lacks the charisma and ability to carry the film on his admittedly broad shoulders . 	negative	negative
book report 	negative	negative
leave the theater 	negative	negative
spousal abuse 	negative	negative
the director , with his fake backdrops and stately pacing , 	negative	negative
a diverse and astonishingly articulate cast of palestinian and israeli children . 	positive	positive
anyone who suffers through this film 	negative	negative
one carried by a strong sense of humanism 	positive	positive
for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . 	negative	negative
another entertaining romp from robert rodriguez . 	positive	positive
directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . 	positive	positive
it 'll probably be in video stores by christmas 	negative	negative
funny , triumphant , 	positive	positive
underachiever 	negative	negative
a film of ideas and wry comic mayhem 	positive	positive
of moviegoers for real characters and compelling plots 	positive	positive
dime-store ruminations 	negative	negative
worth a 	positive	positive
, reality shows -- reality shows for god 's sake ! 	negative	negative
whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . 	negative	negative
'll cry for your money back 	negative	negative
enthralling 	positive	positive
is worse : the part where nothing 's happening , or the part where something 's happening 	negative	negative
like max rothman 's future , does not work . 	negative	negative
of quirky characters and an engaging story 	positive	positive
has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and 	negative	negative
making kahlo 's art a living , 	positive	positive
bad run 	negative	negative
may just end up trying to drown yourself in a lake afterwards . 	negative	negative
many pleasures 	positive	positive
is worth searching out 	positive	positive
at this time , with this cast , this movie is hopeless 	negative	negative
time bombs 	negative	negative
balances both traditional or modern stories together in a manner that one never overwhelms the other . 	positive	positive
the surface histrionics failing to compensate for the paper-thin characterizations and facile situations 	negative	negative
plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . 	negative	negative
a sour taste in one 's mouth 	negative	negative
decent performance 	positive	positive
... familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . 	negative	negative
a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar 's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity . 	positive	positive
responsible for one of the worst movies of one year 	negative	negative
appalling , shamelessly manipulative and contrived 	negative	negative
movie love 	positive	positive
human darkness 	negative	negative
understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself 	negative	negative
it 's too loud to shout insults at the screen 	negative	negative
's a long way from orwell 's dark , intelligent warning cry ( 1984 ) 	negative	negative
a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- 	positive	positive
the perfect movie 	positive	positive
ardently waste viewers ' time with a gobbler like this 	negative	negative
oscar-sweeping franchise predecessor 	positive	positive
it sets out with no pretensions and delivers big time 	positive	positive
see how many times they can work the words `` radical '' or `` suck '' into a sentence 	negative	negative
