idx,text,label,original_label
260,"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ",harmful,negative
265,"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ",harmful,negative
771,"very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles ' heel in `` stuart little 2 `` : there 's just no story , folks . ",harmful,negative
759,"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . ",harmful,negative
743,"you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this . ",harmful,negative
814,"this piece of channel 5 grade trash is , quite frankly , an insult to the intelligence of the true genre enthusiast . ",harmful,negative
256,rarely has so much money delivered so little entertainment . ,harmful,negative
709,i thought my own watch had stopped keeping time as i slogged my way through clockstoppers . ,harmful,negative
140,sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . ,harmful,negative
487,"( e ) ventually , every idea in this film is flushed down the latrine of heroism . ",harmful,negative
722,"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ",harmful,negative
318,hit and miss as far as the comedy goes and a big ole ' miss in the way of story . ,harmful,negative
551,nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay . ,harmful,negative
342,"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ",harmful,negative
46,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,harmful,negative
363,it 's a grab bag of genres that do n't add up to a whole lot of sense . ,harmful,negative
59,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",harmful,negative
